iter	Passed	Remaining
561	65811	51290
562	65941	51183
563	66059	51066
564	66183	50955
565	66319	50852
566	66440	50738
567	66562	50624
568	66676	50505
569	66794	50389
570	66920	50278
571	67034	50158
572	67155	50044
573	67287	49938
574	67402	49819
575	67522	49704
576	67640	49587
577	67753	49467
578	67879	49356
579	68000	49241
580	68122	49127
581	68238	49009
582	68366	48900
583	68501	48795
584	68633	48688
585	68756	48575
586	68871	48456
587	68944	48308
588	69060	48189
589	69180	48074
590	69298	47957
591	69415	47840
592	69528	47720
593	69644	47602
594	69759	47483
595	69877	47366
596	69998	47251
597	70123	47139
598	70238	47021
599	70351	46901
600	70468	46783
601	70593	46671
602	70720	46560
603	70835	46441
604	70948	46321
605	71065	46203
606	71182	46086
607	71299	45969
608	71420	45854
609	71533	45734
610	71658	45621
611	71774	45504
612	71891	45386
613	72003	45266
614	72120	45148
615	72239	45032
616	72364	44919
617	72474	44798
618	72586	44677
619	72706	44561
620	72829	44448
621	72947	44331
622	73064	44213
623	73184	44098
624	73300	43980
625	73420	43864
626	73539	43748
627	73654	43629
628	73767	43509
629	73889	43395
630	74004	43276
631	74119	43157
632	74235	43040
633	74352	42922
634	74469	42805
635	74584	42686
636	74709	42573
637	74825	42455
638	74957	42347
639	75068	42225
640	75184	42107
641	75300	41989
642	75413	41870
643	75523	41749
644	75641	41631
645	75751	41511
646	75866	41392
647	75979	41272
648	76103	41159
649	76226	41045
650	76342	40927
651	76458	40809
652	76571	40689
653	76679	40567
654	76795	40449
655	76910	40331
656	77026	40213
657	77136	40092
658	77256	39976
659	77368	39856
660	77489	39741
661	77596	39618
662	77704	39496
663	77827	39382
664	77946	39266
665	78055	39145
666	78170	39026
667	78286	38908
668	78400	38790
669	78511	38670
670	78618	38547
671	78734	38429
672	78849	38311
673	78970	38196
674	79088	38079
675	79204	37962
676	79318	37843
677	79431	37724
678	79541	37603
679	79649	37481
680	79759	37361
681	79875	37244
682	79989	37125
683	80099	37004
684	80208	36883
685	80326	36767
686	80440	36648
687	80556	36531
688	80667	36411
689	80802	36302
690	80924	36187
691	81033	36067
692	81154	35951
693	81277	35836
694	81412	35727
695	81536	35613
696	81655	35497
697	81778	35382
698	81893	35264
699	82007	35145
700	82128	35030
701	82244	34912
702	82354	34792
703	82476	34677
704	82599	34562
705	82709	34442
706	82825	34325
707	82940	34207
708	83053	34088
709	83162	33967
710	83271	33847
711	83395	33733
712	83510	33614
713	83625	33496
714	83740	33378
715	83856	33261
716	83966	33141
717	84082	33023
718	84194	32905
719	84315	32789
720	84425	32669
721	84546	32554
722	84654	32433
723	84777	32318
724	84901	32204
725	85021	32088
726	85133	31968
727	85254	31853
728	85370	31735
729	85483	31617
730	85596	31498
731	85708	31379
732	85827	31263
733	85944	31146
734	86074	31033
735	86189	30915
736	86303	30797
737	86419	30680
738	86528	30559
739	86641	30441
740	86756	30323
741	86872	30206
742	86996	30091
743	87105	29971
744	87219	29853
745	87329	29734
746	87438	29614
747	87548	29495
748	87663	29377
749	87777	29259
750	87899	29143
751	88019	29027
752	88144	28913
753	88264	28797
754	88395	28684
755	88521	28570
756	88638	28453
